K,Source Device ID,Time_90,Chunk Copies,% Devices Reached
41,846,inf,1476,85.723
41,1053,inf,1450,84.214
41,525,inf,1160,67.382
41,10976,inf,454,26.407
41,8264,inf,959,55.717
41,4463,inf,159,9.286
41,3481,inf,898,52.176
42,3476,inf,949,55.136
42,11071,inf,214,12.478
42,155,inf,1270,73.767
42,1598,inf,171,9.983
42,8344,inf,630,36.622
42,2046,inf,1495,86.825
42,7393,inf,379,22.055
42,8350,inf,630,36.622
42,1325,inf,1378,80.035
42,9334,inf,148,8.648
42,1977,inf,1454,84.446
42,1059,inf,1477,85.781
42,706,inf,954,55.427
42,8757,inf,675,39.234
42,20,inf,1471,85.432
42,2812,inf,1319,76.611
42,2057,inf,1172,68.079
42,11056,inf,193,11.259
42,11560,inf,551,32.037
42,157,inf,1272,73.883
42,762,inf,905,52.583
42,1117,inf,759,44.109
42,2620,inf,1364,79.222
42,3279,inf,1183,68.717
42,8736,inf,676,39.292
42,5687,inf,1383,80.325
42,1452,inf,285,16.599
42,2631,inf,1317,76.494
42,6812,inf,1112,64.597
42,4705,inf,1161,67.441
42,6561,inf,1459,84.736
42,1040,inf,940,54.614
42,7241,inf,951,55.252
42,858,inf,1431,83.111
42,10435,inf,695,40.395
42,8384,inf,631,36.680
42,1071,inf,811,47.127
42,1394,inf,1211,70.342
42,792,inf,639,37.145
42,7779,inf,1491,86.593
42,10690,inf,1391,80.789
42,1356,inf,1248,72.490
42,8481,inf,143,8.358
42,11867,inf,10,0.638
42,4571,inf,142,8.299
42,9822,inf,637,37.028
42,8348,inf,630,36.622
42,4808,inf,962,55.891
42,8315,inf,638,37.086
42,541,inf,1501,87.174
42,2452,inf,872,50.667
42,265,inf,1224,71.097
42,2613,inf,1364,79.222
42,11870,inf,10,0.638
42,5349,inf,818,47.533
42,1189,inf,910,52.873
42,4702,inf,1031,59.896
42,2616,inf,1364,79.222
42,7261,inf,952,55.311
42,2683,inf,1340,77.829
42,4720,inf,1017,59.083
42,1208,inf,906,52.641
42,9547,inf,389,22.635
42,2205,inf,1495,86.825
42,7588,inf,1502,87.232
42,1400,inf,410,23.854
42,6676,inf,1430,83.053
42,1244,inf,646,37.551
42,6610,inf,1446,83.981
42,206,inf,1244,72.258
42,135,inf,1279,74.289
42,3289,inf,1139,66.164
42,2553,inf,855,49.681
42,4044,inf,1457,84.620
42,41,inf,1506,87.464
42,250,inf,1263,73.360
42,8368,inf,633,36.796
42,8487,inf,142,8.299
42,1470,inf,285,16.599
42,2671,inf,1434,83.285
42,7419,inf,363,21.126
42,317,inf,1195,69.414
42,961,inf,1456,84.562
42,11102,inf,212,12.362
42,6064,inf,1252,72.722
42,638,inf,1194,69.356
42,280,inf,1221,70.923
42,9569,inf,15,0.929
42,1655,inf,141,8.241
42,8760,inf,675,39.234
42,100,inf,1483,86.129
42,553,inf,1486,86.303
42,7243,inf,951,55.252
42,846,inf,1486,86.303
42,1053,inf,1462,84.910
42,525,inf,1167,67.789
42,10976,inf,457,26.582
42,8264,inf,963,55.949
